trial_name,display_name,model_name,run_dir,best_threshold,val_f1_macro,val_f1_weighted,val_accuracy,test_f1_macro,test_f1_weighted,test_accuracy,train_runtime,train_samples_per_second,config_json
xlmr_t009_len64_ep5_lr1e-05_bs8_ga1_cwsqrt_inv_ls0.03,XLM-R,xlm-roberta-base,artifacts/model_batches/b123v45_tuned_20260316_082735/models/XLM-R/trials/xlmr_t009_len64_ep5_lr1e-05_bs8_ga1_cwsqrt_inv_ls0.03,0.5,0.83387,0.88456,0.886076,0.708851,0.812981,0.824627,405.3623,31.959,"{""max_len"": 64, ""lr"": 1e-05, ""epochs"": 5, ""train_bs"": 8, ""eval_bs"": 16, ""grad_accum"": 1, ""warmup_ratio"": 0.1, ""early_stopping_patience"": 2, ""class_weight_mode"": ""sqrt_inv"", ""label_smoothing"": 0.03}"
xlmr_t002_len80_ep5_lr1e-05_bs8_ga1_cwsqrt_inv_ls0.03,XLM-R,xlm-roberta-base,artifacts/model_batches/b123v45_tuned_20260316_082735/models/XLM-R/trials/xlmr_t002_len80_ep5_lr1e-05_bs8_ga1_cwsqrt_inv_ls0.03,0.4,0.831555,0.881957,0.882459,0.717687,0.815371,0.822761,523.3425,24.754,"{""max_len"": 80, ""lr"": 1e-05, ""epochs"": 5, ""train_bs"": 8, ""eval_bs"": 16, ""grad_accum"": 1, ""warmup_ratio"": 0.06, ""early_stopping_patience"": 2, ""class_weight_mode"": ""sqrt_inv"", ""label_smoothing"": 0.03}"
xlmr_t007_len64_ep3_lr1e-05_bs8_ga1_cwnone_ls0.03,XLM-R,xlm-roberta-base,artifacts/model_batches/b123v45_tuned_20260316_082735/models/XLM-R/trials/xlmr_t007_len64_ep3_lr1e-05_bs8_ga1_cwnone_ls0.03,0.46,0.829262,0.879342,0.878843,0.717826,0.81367,0.81903,319.2027,24.351,"{""max_len"": 64, ""lr"": 1e-05, ""epochs"": 3, ""train_bs"": 8, ""eval_bs"": 16, ""grad_accum"": 1, ""warmup_ratio"": 0.06, ""early_stopping_patience"": 2, ""class_weight_mode"": ""none"", ""label_smoothing"": 0.03}"
xlmr_t008_len80_ep3_lr2e-05_bs8_ga1_cwnone_ls0.0,XLM-R,xlm-roberta-base,artifacts/model_batches/b123v45_tuned_20260316_082735/models/XLM-R/trials/xlmr_t008_len80_ep3_lr2e-05_bs8_ga1_cwnone_ls0.0,0.62,0.828474,0.879967,0.880651,0.731604,0.82646,0.835821,371.3563,20.931,"{""max_len"": 80, ""lr"": 2e-05, ""epochs"": 3, ""train_bs"": 8, ""eval_bs"": 16, ""grad_accum"": 1, ""warmup_ratio"": 0.1, ""early_stopping_patience"": 2, ""class_weight_mode"": ""none"", ""label_smoothing"": 0.0}"
xlmr_t010_len80_ep5_lr1e-05_bs8_ga1_cwnone_ls0.0,XLM-R,xlm-roberta-base,artifacts/model_batches/b123v45_tuned_20260316_082735/models/XLM-R/trials/xlmr_t010_len80_ep5_lr1e-05_bs8_ga1_cwnone_ls0.0,0.54,0.828474,0.879967,0.880651,0.72959,0.824014,0.83209,495.4614,26.147,"{""max_len"": 80, ""lr"": 1e-05, ""epochs"": 5, ""train_bs"": 8, ""eval_bs"": 16, ""grad_accum"": 1, ""warmup_ratio"": 0.1, ""early_stopping_patience"": 2, ""class_weight_mode"": ""none"", ""label_smoothing"": 0.0}"
xlmr_t005_len64_ep3_lr3e-05_bs8_ga1_cwnone_ls0.03,XLM-R,xlm-roberta-base,artifacts/model_batches/b123v45_tuned_20260316_082735/models/XLM-R/trials/xlmr_t005_len64_ep3_lr3e-05_bs8_ga1_cwnone_ls0.03,0.6,0.823326,0.878103,0.880651,0.704201,0.811246,0.824627,321.8803,24.149,"{""max_len"": 64, ""lr"": 3e-05, ""epochs"": 3, ""train_bs"": 8, ""eval_bs"": 16, ""grad_accum"": 1, ""warmup_ratio"": 0.06, ""early_stopping_patience"": 2, ""class_weight_mode"": ""none"", ""label_smoothing"": 0.03}"
xlmr_t006_len64_ep5_lr2e-05_bs8_ga1_cwsqrt_inv_ls0.0,XLM-R,xlm-roberta-base,artifacts/model_batches/b123v45_tuned_20260316_082735/models/XLM-R/trials/xlmr_t006_len64_ep5_lr2e-05_bs8_ga1_cwsqrt_inv_ls0.0,0.68,0.822238,0.877703,0.880651,0.727322,0.825712,0.837687,532.0424,24.35,"{""max_len"": 64, ""lr"": 2e-05, ""epochs"": 5, ""train_bs"": 8, ""eval_bs"": 16, ""grad_accum"": 1, ""warmup_ratio"": 0.06, ""early_stopping_patience"": 2, ""class_weight_mode"": ""sqrt_inv"", ""label_smoothing"": 0.0}"
xlmr_t004_len64_ep5_lr1e-05_bs8_ga1_cwnone_ls0.03,XLM-R,xlm-roberta-base,artifacts/model_batches/b123v45_tuned_20260316_082735/models/XLM-R/trials/xlmr_t004_len64_ep5_lr1e-05_bs8_ga1_cwnone_ls0.03,0.66,0.82113,0.877292,0.880651,0.687759,0.803398,0.820896,402.5155,32.185,"{""max_len"": 64, ""lr"": 1e-05, ""epochs"": 5, ""train_bs"": 8, ""eval_bs"": 16, ""grad_accum"": 1, ""warmup_ratio"": 0.06, ""early_stopping_patience"": 2, ""class_weight_mode"": ""none"", ""label_smoothing"": 0.03}"
xlmr_t011_len80_ep5_lr1e-05_bs8_ga1_cwsqrt_inv_ls0.03,XLM-R,xlm-roberta-base,artifacts/model_batches/b123v45_tuned_20260316_082735/models/XLM-R/trials/xlmr_t011_len80_ep5_lr1e-05_bs8_ga1_cwsqrt_inv_ls0.03,0.4,0.821125,0.873768,0.873418,0.715618,0.81462,0.822761,537.4309,24.105,"{""max_len"": 80, ""lr"": 1e-05, ""epochs"": 5, ""train_bs"": 8, ""eval_bs"": 16, ""grad_accum"": 1, ""warmup_ratio"": 0.1, ""early_stopping_patience"": 2, ""class_weight_mode"": ""sqrt_inv"", ""label_smoothing"": 0.03}"
xlmr_t003_len80_ep5_lr1e-05_bs8_ga1_cwsqrt_inv_ls0.0,XLM-R,xlm-roberta-base,artifacts/model_batches/b123v45_tuned_20260316_082735/models/XLM-R/trials/xlmr_t003_len80_ep5_lr1e-05_bs8_ga1_cwsqrt_inv_ls0.0,0.46,0.819069,0.872138,0.871609,0.717771,0.81453,0.820896,470.1758,27.554,"{""max_len"": 80, ""lr"": 1e-05, ""epochs"": 5, ""train_bs"": 8, ""eval_bs"": 16, ""grad_accum"": 1, ""warmup_ratio"": 0.1, ""early_stopping_patience"": 2, ""class_weight_mode"": ""sqrt_inv"", ""label_smoothing"": 0.0}"
xlmr_t012_len64_ep5_lr1e-05_bs8_ga1_cwsqrt_inv_ls0.0,XLM-R,xlm-roberta-base,artifacts/model_batches/b123v45_tuned_20260316_082735/models/XLM-R/trials/xlmr_t012_len64_ep5_lr1e-05_bs8_ga1_cwsqrt_inv_ls0.0,0.56,0.817045,0.871429,0.871609,0.711743,0.811484,0.81903,578.3952,22.398,"{""max_len"": 64, ""lr"": 1e-05, ""epochs"": 5, ""train_bs"": 8, ""eval_bs"": 16, ""grad_accum"": 1, ""warmup_ratio"": 0.06, ""early_stopping_patience"": 2, ""class_weight_mode"": ""sqrt_inv"", ""label_smoothing"": 0.0}"
xlmr_t001_len80_ep3_lr3e-05_bs8_ga1_cwnone_ls0.0,XLM-R,xlm-roberta-base,artifacts/model_batches/b123v45_tuned_20260316_082735/models/XLM-R/trials/xlmr_t001_len80_ep3_lr3e-05_bs8_ga1_cwnone_ls0.0,0.48,0.791478,0.859413,0.866184,0.678515,0.798258,0.817164,286.5289,27.128,"{""max_len"": 80, ""lr"": 3e-05, ""epochs"": 3, ""train_bs"": 8, ""eval_bs"": 16, ""grad_accum"": 1, ""warmup_ratio"": 0.1, ""early_stopping_patience"": 2, ""class_weight_mode"": ""none"", ""label_smoothing"": 0.0}"
